,0
1121,3621.2751
1122,3594.4343
1123,3563.8809
1124,3531.6035
1125,3500.7852
1126,3474.5667
1127,3458.6592
1128,3456.7976
1129,3468.6348
1130,3491.5989
1131,3524.1611
1132,3562.614
1133,3603.2383
1134,3641.4976
1135,3675.767
1136,3705.0764
1137,3729.3884
1138,3748.2424
1139,3762.1736
1140,3772.6675
1141,3780.387
1142,3785.7163
1143,3788.7341
1144,3790.7446
1145,3792.744
1146,3795.388
1147,3799.0117
1148,3801.724
1149,3801.9724
1150,3799.0544
1151,3792.6533
1152,3783.5256
1153,3771.8855
1154,3757.1846
1155,3739.906
1156,3720.9229
1157,3702.0845
1158,3683.7764
1159,3665.6643
1160,3647.862
1161,3630.505
1162,3613.8884
1163,3598.3518
1164,3584.1316
1165,3571.1672
1166,3558.1294
1167,3543.5413
1168,3526.6926
1169,3507.3396
1170,3486.102
1171,3463.9238
1172,3441.3875
1173,3418.9878
1174,3397.1555
1175,3375.6826
1176,3354.4517
1177,3335.2905
1178,3320.9734
1179,3314.0352
1180,3315.3638
1181,3324.811
1182,3341.3289
1183,3363.3357
1184,3388.6484
1185,3415.5273
1186,3443.1106
1187,3474.0886
1188,3510.2236
1189,3549.9946
1190,3591.6284
1191,3633.9946
1192,3677.305
1193,3718.9216
1194,3756.4246
1195,3787.851
1196,3812.0518
1197,3828.7615
1198,3838.759
1199,3843.316
1200,3843.6804
1201,3840.5269
1202,3835.1643
1203,3828.8965
1204,3822.75
1205,3817.2803
1206,3813.0557
1207,3810.3086
1208,3808.786
1209,3808.1423
1210,3808.0537
1211,3808.373
1212,3809.2305
1213,3811.2637
1214,3814.7883
1215,3819.8335
1216,3826.5134
1217,3834.85
1218,3844.164
1219,3853.6033
1220,3862.5103
1221,3870.333
1222,3876.273
1223,3879.985
1224,3882.2036
1225,3883.6643
1226,3885.108
1227,3887.073
1228,3889.7927
1229,3893.6194
1230,3905.0383
1231,3932.7312
1232,3983.6326
1233,4060.065
1234,4158.963
1235,4276.801
1236,4408.9697
1237,4546.5474
1238,4682.6616
1239,4804.9775
1240,4905.1187
1241,4979.502
1242,5029.4355
1243,5056.6313
1244,5066.179
1245,5063.3174
1246,5052.9053
